All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     Unicycler_hybrid
# misassemblies              3               
  # contig misassemblies     3               
    # c. relocations         3               
    # c. translocations      0               
    # c. inversions          0               
  # scaffold misassemblies   0               
    # s. relocations         0               
    # s. translocations      0               
    # s. inversions          0               
# misassembled contigs       1               
Misassembled contigs length  5236984         
# local misassemblies        8               
# scaffold gap ext. mis.     0               
# scaffold gap loc. mis.     0               
# unaligned mis. contigs     0               
# mismatches                 466             
# indels                     265             
    # indels (<= 5 bp)       257             
    # indels (> 5 bp)        8               
Indels length                630             
